GEN	Gen\xC3\xA8se
EXO	Exode
LEV	L\xC3\xA9vitique
NUM	Nombres
DEU	Deut\xC3\xA9ronome
JOS	Josu\xC3\xA9
JDG	Juges
RUT	Ruth
1SA	1er livre de Samuel
2SA	2\xC3\xA8me livre de Samuel
1KI	1er livre des Rois
2KI	2\xC3\xA8me livre des Rois
1CH	1 Chroniques 
2CH	2 Chroniques 
EZR	Esdras
NEH	N\xC3\xA9h\xC3\xA9mie
TOB	Tobie
JDT	Judith
EST	Esther
JOB	Job
PSA	Psaumes
PRO	Proverbes
ECC	Qoh\xC3\xA9let
SNG	Cantique des Cantiques
WIS	Sagesse
SIR	Eccl\xC3\xA9siastique 
ISA	Isa\xC3\xAFe
JER	J\xC3\xA9r\xC3\xA9mie
LAM	Thr\xC3\xA8nes
BAR	Baruch
EZK	Ez\xC3\xA9chiel
DAN	Daniel
HOS	Os\xC3\xA9e
JOL	Jo\xC3\xABl
AMO	Amos
OBA	Abdias
JON	Jonas
MIC	Mich\xC3\xA9e
NAM	Nahum
HAB	Habacuc
ZEP	Sophonie
HAG	Agg\xC3\xA9e
ZEC	Zacharie
MAL	Malachie
1MA	1er livre des Machab\xC3\xA9es
2MA	2\xC3\xA8me livre des Machab\xC3\xA9es
MAT	\xC3\x89vangile selon saint Matthieu
MRK	\xC3\x89vangile selon saint Marc
LUK	\xC3\x89vangile selon saint Luc
JHN	\xC3\x89vangile selon saint Jean
ACT	Actes des Ap\xC3\xB4tres
ROM	Romains
1CO	1 Corinthiens
2CO	2 Corinthiens
GAL	Galates
EPH	Eph\xC3\xA9siens
PHP	Philippiens
COL	Colossiens
1TH	1 Thessaloniciens
2TH	2 Thessaloniciens
1TI	1 Timoth\xC3\xA9e
2TI	2 Timoth\xC3\xA9e
TIT	Tite
PHM	Phil\xC3\xA9mon
HEB	H\xC3\xA9breux
JAS	Jacques
1PE	1 Pierre
2PE	2 Pierre
1JN	1 Jean
2JN	2 Jean
3JN	3 Jean
JUD	Jude
REV	Apocalypse
