GEN	Gn
EXO	Ex
LEV	Lv
NUM	Nm
DEU	Dt
JOS	Jos
JDG	Jdc
RUT	Rt
1SA	1Rg
2SA	2Rg
1KI	3Rg
2KI	4Rg
1CH	1Par
2CH	2Par
EZR	Esr
NEH	Neh
EST	Est
JOB	Job
PSA	Ps
PRO	Pr
ECC	Ecl
SNG	Ct
ISA	Is
JER	Jr
LAM	Lam
EZK	Ez
DAN	Dn
HOS	Os
JOL	Joel
AMO	Am
OBA	Abd
JON	Jon
MIC	Mch
NAM	Nah
HAB	Hab
ZEP	Soph
HAG	Agg
ZEC	Zach
MAL	Mal
MAT	Mt
MRK	Mc
LUK	Lc
JHN	Jo
ACT	Act
ROM	Rom
1CO	1Cor
2CO	2Cor
GAL	Gal
EPH	Eph
PHP	Phlp
COL	Col
1TH	1Thes
2TH	2Thes
1TI	1Tim
2TI	2Tim
TIT	Tit
PHM	Phlm
HEB	Hbr
JAS	Jac
1PE	1Ptr
2PE	2Ptr
1JN	1Jo
2JN	2Jo
3JN	3Jo
JUD	Jud
REV	Apc
TOB	Tob
JDT	Jdt
WIS	Sap
SIR	Sir
BAR	Bar
1MA	1Mcc
2MA	2Mcc
