GEN	Genesis
EXO	Exodus
LEV	Leviticus
NUM	Numbers
DEU	Deuteronomium
JOS	Josue
JDG	Judicum
RUT	Ruth
1SA	Regum I
2SA	Regum II
1KI	Regum III
2KI	Regum IV
1CH	Paralipomenon I
2CH	Paralipomenon II
EZR	Esdr\xC3\xA6
NEH	Nehemi\xC3\xA6
EST	Esther
JOB	Job
PSA	Psalmi
PRO	Proverbia
ECC	Ecclesiastes
SNG	Canticum Canticorum
ISA	Isaias
JER	Jeremias
LAM	Lamentationes
EZK	Ezechiel
DAN	Daniel
HOS	Osee
JOL	Jo\xC3\xABl
AMO	Amos
OBA	Abdias
JON	Jonas
MIC	Mich\xC3\xA6a
NAM	Nahum
HAB	Habacuc
ZEP	Sophonias
HAG	Agg\xC3\xA6us
ZEC	Zacharias
MAL	Malachias
MAT	Matth\xC3\xA6us
MRK	Marcus
LUK	Lucas
JHN	Joannes
ACT	Actus Apostolorum
ROM	ad Romanos
1CO	ad Corinthios I
2CO	ad Corinthios II
GAL	ad Galatas
EPH	ad Ephesios
PHP	ad Philippenses
COL	ad Colossenses
1TH	ad Thessalonicenses I
2TH	ad Thessalonicenses II
1TI	ad Timotheum I
2TI	ad Timotheum II
TIT	ad Titum
PHM	ad Philemonem
HEB	ad Hebr\xC3\xA6os
JAS	Jacobi
1PE	Petri I
2PE	Petri II
1JN	Joannis I
2JN	Joannis II
3JN	Joannis III
JUD	Jud\xC3\xA6
REV	Apocalypsis
TOB	Tobi\xC3\xA6
JDT	Judith
WIS	Sapientia
SIR	Ecclesiasticus
BAR	Baruch
1MA	Machab\xC3\xA6orum I
2MA	Machab\xC3\xA6orum II
